timestamp,team,player,event_type,x,y,end_x,end_y,foot,to_player,outcome,pass_type,body_part,xg,card,set_piece_type,action,tackled_player,fouled_player,gk_action_type
65.0,Chelsea,Sanchez,goalkeeper_action,104.0,34.0,55.0,50.0,right,,success,,,,,,,,distribution
68.0,Chelsea,Gallagher,touch,55.0,50.0,,,,,,,,,,,,,,
70.0,Chelsea,Gallagher,pass,55.0,50.0,65.0,60.0,right,Palmer,success,short,,,,,,,,
73.0,Chelsea,Palmer,touch,65.0,60.0,,,,,,,,,,,,,,
75.0,Chelsea,Palmer,pass,65.0,60.0,80.0,55.0,right,Jackson,success,through,,,,,,,,
78.0,Chelsea,Jackson,touch,80.0,55.0,,,,,,,,,,,,,,
80.0,Chelsea,Jackson,dribble,80.0,55.0,88.0,50.0,right,,,won,,,,,,,
83.0,Arsenal,Gabriel,foul,88.0,50.0,,,,,foul_committed,,,,yellow,,,,Jackson,
86.0,Chelsea,Palmer,set_piece,88.0,50.0,93.0,38.0,right,Jackson,success,,,,free_kick,,,,
89.0,Chelsea,Jackson,header,93.0,38.0,105.0,33.0,,,,,,0.22,,shot,,,
91.0,Chelsea,Jackson,shot,93.0,38.0,105.0,33.0,,,,,,0.22,goal,,,right_foot,,
94.0,Arsenal,Odegaard,set_piece,52.5,34.0,55.0,34.0,right,Saka,success,short,,,kick_off,,,,
97.0,Arsenal,Saka,pass,55.0,34.0,50.0,50.0,right,Zinchenko,success,short,,,,,,,,
100.0,Arsenal,Zinchenko,touch,50.0,50.0,,,,,,,,,,,,,,
103.0,Arsenal,Zinchenko,pass,50.0,50.0,65.0,60.0,left,Martinelli,success,long,,,,,,,,
106.0,Arsenal,Martinelli,touch,65.0,60.0,,,,,,,,,,,,,,
108.0,Arsenal,Martinelli,dribble,65.0,60.0,72.0,62.0,left,,,won,,,,,,,
111.0,Arsenal,Martinelli,pass,72.0,62.0,85.0,55.0,left,Havertz,success,cross,,,,,,,,
113.0,Arsenal,Havertz,touch,85.0,55.0,,,,,,,,,,,,,,
115.0,Arsenal,Havertz,pass,85.0,55.0,92.0,34.0,right,Saka,success,short,,,,,,,,
118.0,Arsenal,Saka,shot,92.0,34.0,105.0,35.0,,,,,,0.32,goal,,,right_foot,,
121.0,Chelsea,Palmer,set_piece,52.5,34.0,55.0,34.0,right,Jackson,success,short,,,kick_off,,,,
124.0,Chelsea,Jackson,pass,55.0,34.0,50.0,20.0,right,Caicedo,success,short,,,,,,,,
127.0,Chelsea,Caicedo,pass,50.0,20.0,62.0,25.0,right,Enzo,success,short,,,,,,,,
130.0,Chelsea,Enzo,touch,62.0,25.0,,,,,,,,,,,,,,
133.0,Chelsea,Enzo,pass,62.0,25.0,70.0,40.0,right,Palmer,intercepted,through,,,,,,,,
135.0,Arsenal,Rice,touch,68.0,38.0,,,,,,,,,,,,,,
137.0,Arsenal,Rice,pass,68.0,38.0,80.0,34.0,right,Odegaard,success,short,,,,,,,,
140.0,Arsenal,Odegaard,pass,80.0,34.0,90.0,20.0,right,Saka,success,through,,,,,,,,
143.0,Arsenal,Saka,touch,90.0,20.0,,,,,,,,,,,,,,
145.0,Arsenal,Saka,shot,90.0,20.0,105.0,36.0,,,,,,0.18,saved,,,right_foot,,
148.0,Chelsea,Sanchez,goalkeeper_action,104.5,35.0,40.0,60.0,right,,success,,,,,,,,distribution
